Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness (ACO-FL),Tempo do Melhor Fitness (ACO-FL),Melhor Fitness (FL-GA),Tempo do Melhor Fitness (FL-GA)
cycle3-order75,75,75,0.027,-1,112,103,0.0178,108,0.032
cycle9-order225,225,225,0.0089,-1,337,307,0.1274,332,0.184
cycle7-order175,175,175,0.0115,-1,262,238,0.0936,257,0.258
cycle4-order100,100,100,0.0202,-1,150,135,0.031,146,0.044
cycle5-order125,125,125,0.0161,-1,187,168,0.0426,182,0.046
cycle6-order150,150,150,0.0134,-1,225,205,0.061,221,0.198
cycle10-order250,250,250,0.008,-1,375,339,0.1455,359,0.258
cycle1-order25,25,25,0.0833,-1,37,35,0.0033,36,0.002
cycle8-order200,200,200,0.0101,-1,300,272,0.0978,296,0.425
cycle2-order50,50,50,0.0408,-1,75,68,0.0096,72,0.009
