Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Média de Fitness,Desvio Padrão Fitness,Média de Tempo,Desvio Padrão de Tempo
GD01_c,33,135,0.2557,6,57,28.0,0.0,0.0015,0.0001
GD99_b,64,125,0.062,51,96,70.6667,0.9759,0.0059,0.0016
Tina_DisCal,11,32,0.5818,4,16,8.0,0.0,0.0002,0.0
GD97_a,84,166,0.0476,67,126,99.8,4.5857,0.0095,0.0017
GD98_c,112,168,0.027,112,168,144.6,4.4529,0.0171,0.0036
GD96_b,111,193,0.0316,9,166,60.0,0.0,0.0154,0.0019
GD98_b,121,132,0.0182,40,211,204.0,0.0,0.0081,0.0004
Tina_DisCog,11,36,0.6545,4,16,7.0,0.0,0.0002,0.0
GD02_b,80,232,0.0734,40,120,64.0667,1.0998,0.0069,0.0005
GD97_b,46,132,0.1275,7,69,38.6667,1.9518,0.0021,0.0002
USAir97,332,2126,0.0387,9,581,373.6,4.595,0.1185,0.0279
Stranke94,10,45,1.0,4,15,4.0,0.0,0.0003,0.0
Trefethen_300,300,2189,0.0488,70,450,164.9333,5.3381,0.3139,0.1259
LF10,18,32,0.2092,14,27,22.7333,1.831,0.0005,0.0001
Tina_AskCal,11,25,0.4545,5,16,9.6,0.8281,0.0002,0.0
Trefethen_20b,19,64,0.3743,8,28,15.5333,0.9155,0.0006,0.0001
GD01_b,18,26,0.1699,14,27,23.5333,0.8338,0.0004,0.0
GD96_c,65,125,0.0601,37,97,76.1333,2.5875,0.0059,0.0017
Tina_AskCog,11,27,0.4909,4,16,9.7333,0.7037,0.0002,0.0
GD98_a,38,46,0.0654,8,68,38.0,0.0,0.0014,0.0002
LFAT5,14,16,0.1758,11,22,19.8667,0.5164,0.0003,0.0
GD95_a,36,56,0.0889,16,63,45.2667,1.0998,0.0015,0.0002
Ragusa18,23,51,0.2016,7,40,20.0,0.0,0.0006,0.0
GD06_theory,101,190,0.0376,20,151,30.0,0.0,0.0142,0.0014
CAG_mat72,72,678,0.2653,5,126,18.0,0.0,0.0087,0.0001
GD96_d,180,228,0.0142,25,315,211.0,0.0,0.0181,0.0005
Chebyshev1,261,1542,0.0454,4,391,4.0,0.0,0.0587,0.0068
GD02_a,23,59,0.2332,4,40,8.0,0.0,0.0006,0.0
Trefethen_150,150,945,0.0846,40,225,87.8,2.569,0.0533,0.0177
GD95_c,62,144,0.0762,15,93,51.6667,1.0465,0.0046,0.0005
GD99_c,105,120,0.022,70,183,152.2667,0.5936,0.0139,0.0037
Ragusa16,24,58,0.2101,6,42,26.0,0.0,0.0007,0.0
Trefethen_200,200,1345,0.0676,50,300,113.2,5.7595,0.1302,0.0431
08blocks,300,576,0.0128,31,448,32.0,0.0,0.0698,0.0009
Hamrle1,32,90,0.1815,14,48,28.0,0.0,0.0016,0.0002
Sandi_authors,86,124,0.0339,26,150,101.0,0.0,0.0057,0.0004
Trefethen_200b,199,1337,0.0679,49,298,112.4667,3.8334,0.1033,0.0319
