graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic2,ACO_fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./representative_set/sherman4.txt,546,1341,2,6,690,730,312,819,702.338,62.8468
./representative_set/sherman4.txt,546,1341,2,6,732,633,312,819,512.419,17.0605
./representative_set/sherman4.txt,546,1341,2,6,688,626,312,819,668.974,17.1289
./representative_set/sherman4.txt,546,1341,2,6,702,630,312,819,780.439,17.8108
./representative_set/sherman4.txt,546,1341,2,6,732,617,312,819,877.696,17.031
./representative_set/sherman4.txt,546,1341,2,6,746,618,312,819,906.267,17.4711
./representative_set/sherman4.txt,546,1341,2,6,716,645,312,819,702.638,17.1488
./representative_set/sherman4.txt,546,1341,2,6,720,650,312,819,717.688,18.475
./representative_set/sherman4.txt,546,1341,2,6,702,626,312,819,3513.49,18.9439
./representative_set/sherman4.txt,546,1341,2,6,746,626,312,819,899.754,17.7105
