Graph Name,$V(G)$,$E(G)$,$\delta$,$\Delta$,Lower Bound,Upper Bound,Fitness Value (GA),Fitness Value (ACO),Elapsed Time GA (seconds),Elapsed Time ACO (seconds)
can62,62,78,1,6,35,108,86,79,0.483767,0.0591861
can256,256,1330,3,82,12,384,86,82,3.04846,0.60483
cycle17,17,17,2,2,-1,25,25,24,0.119551,0.00814129
lns511,511,1425,0,12,157,904,608,549,7.98354,36.2445
cycle16,16,16,2,2,-1,24,24,23,0.119125,0.0074415
cycle13,13,13,2,2,-1,19,19,19,0.0935661,0.00591367
can445,445,1682,3,12,136,667,316,275,6.53773,2.04744
can187,187,652,4,9,74,280,137,88,1.79002,0.110593
can715,715,2975,1,104,27,1251,378,323,13.0938,5.84626
can292,292,1124,3,34,33,438,155,145,3.39795,0.665875
cycle18,18,18,2,2,-1,27,27,24,0.13554,0.00871172
cycle15,15,15,2,2,-1,22,22,20,0.118384,0.00705773
can96,96,336,5,8,42,144,67,48,0.814107,0.0438335
cycle20,20,20,2,2,-1,30,28,28,0.146141,0.0102521
cycle11,11,11,2,2,-1,16,16,16,0.080398,0.00502347
can24,24,68,3,8,10,36,18,16,0.188403,0.0101256
sherman4,1104,1341,0,6,630,2493,2281,2196,9.33565,289.683
can268,268,1407,3,36,28,402,92,104,3.2553,0.513384
can73,73,152,2,8,32,109,83,64,0.594579,0.0310582
685bus,685,1282,1,12,210,1198,726,728,12.8346,27.7497
can161,161,608,5,16,37,241,103,76,1.64464,0.123479
cycle12,12,12,2,2,-1,18,18,16,0.0933733,0.00549906
cycle19,19,19,2,2,-1,28,28,27,0.133441,0.00933911
662_bus,662,906,1,9,264,1158,813,806,10.6578,25.579
can61,61,248,4,24,9,91,31,31,0.50613,0.0246323
can144,144,576,5,14,38,216,52,68,1.43538,0.0821911
can229,229,774,2,12,70,343,184,159,2.37064,0.434516
cycle10,10,10,2,2,-1,15,15,14,0.068605,0.0045986
can838,838,4586,5,31,104,1257,439,476,21.131,68.6207
cycle14,14,14,2,2,-1,21,20,20,0.106416,0.00655882
shl200,663,1720,2,439,6,994,494,422,5.66938,7.51065
